file,algo,level,target,n,seed_idx,interaction_edges,num_qubits,depth,size,num_2q_gates,program_communication,critical_depth,entanglement_ratio,parallelism,liveness,fiedler_topology,spectral_entropy_topology,laplacian_max_eig_topology,spectral_gap_ratio_topology,effective_resistance,log_spanning_trees,laplacian_energy,von_neumann_entropy,fiedler_2q_weighted,spectral_entropy_2q_weighted,gini_2q_multiplicity,edge_weight_mean_2q,edge_weight_max_2q,log_estrada_index,graph_density,graph_diameter,avg_clustering,n_components,max_degree,degree_variance,assortativity,num_triangles,twoq_temporal_locality,gate_entropy,num_unique_gates,depth_per_qubit,fiedler_at_half_depth,time_to_connected,has_2q_interactions,n_rotation_gates,mean_abs_angle,std_angle,sum_sin_sq_half,mean_angle_squared,angle_position_weighted,n_qubits,device,seed,status,polarization,polarization_raw,p_success,n_active,routed_2q,mirror_depth,ideal_peak,err
graphstate_indep_none_10_s0.qasm,graphstate,indep,none,10,0,"[[0, 3], [0, 5], [0, 7], [1, 2], [1, 4], [1, 6], [2, 3], [2, 8], [3, 5], [4, 6], [4, 9], [5, 8], [6, 9], [7, 8], [7, 9]]",10.0,9.0,25.0,15.0,0.3333333333333333,0.4666666666666667,0.6,0.1975308641975308,0.5555555555555556,0.5618771113072585,2.079209495858179,5.480114069417817,0.1025301853556033,4.258965517241381,7.0561752841004095,30.0,2.9417916215702085,0.5618771113072585,2.079209495858179,0.0,1.0,1.0,3.699261891635899,0.3333333333333333,4.0,0.3,1.0,3.0,0.0,0.0,3.0,0.0,0.6730116670092565,2.0,0.9,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,FakeBrisbane,42.0,labeled,0.2675930943850441,0.2675930943850441,0.3472425573450464,12.0,90.0,169.0,1.0000000000000062,
graphstate_indep_none_10_s1.qasm,graphstate,indep,none,10,1,"[[0, 4], [0, 6], [0, 8], [1, 2], [1, 6], [1, 7], [2, 6], [2, 8], [3, 4], [3, 5], [3, 9], [4, 8], [5, 7], [5, 9], [7, 9]]",10.0,9.0,25.0,15.0,0.3333333333333333,0.4666666666666667,0.6,0.1975308641975308,0.5555555555555556,0.585786437626905,2.075639314358921,4.999999999999999,0.117157287525381,4.3166666666666655,6.984716320118266,29.99999999999999,2.931081077072433,0.585786437626905,2.075639314358921,0.0,1.0,1.0,3.723161921416239,0.3333333333333333,3.0,0.4,1.0,3.0,0.0,0.0,4.0,0.0,0.6730116670092565,2.0,0.9,0.0,0.5555555555555556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,FakeBrisbane,42.0,labeled,0.2657322506536358,0.2657322506536358,0.3424841386041972,10.0,96.0,201.0,1.0000000000000075,
graphstate_indep_none_10_s10.qasm,graphstate,indep,none,10,10,"[[0, 2], [0, 3], [0, 7], [1, 4], [1, 8], [1, 9], [2, 6], [2, 8], [3, 5], [3, 8], [4, 5], [4, 7], [5, 6], [6, 9], [7, 9]]",10.0,9.0,25.0,15.0,0.3333333333333333,0.4666666666666667,0.6,0.1975308641975308,0.5555555555555556,1.43844718719117,2.0958578177201472,5.561552812808829,0.2586412887922736,3.3583333333333334,7.560080465021826,30.0,2.991736587156113,1.43844718719117,2.0958578177201472,0.0,1.0,1.0,3.5757760885327263,0.3333333333333333,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.6730116670092565,2.0,0.9,0.153534083237023,0.4444444444444444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,FakeBrisbane,42.0,labeled,0.262335725864311,0.262335725864311,0.3347974621766715,10.0,108.0,165.0,1.000000000000008,
graphstate_indep_none_10_s11.qasm,graphstate,indep,none,10,11,"[[0, 2], [0, 3], [0, 7], [1, 5], [1, 7], [1, 8], [2, 5], [2, 6], [3, 6], [3, 9], [4, 5], [4, 6], [4, 8], [7, 9], [8, 9]]",10.0,9.0,25.0,15.0,0.3333333333333333,0.4666666666666667,0.6,0.1975308641975308,0.5555555555555556,1.3819660112501049,2.093852751745191,5.618033988749897,0.2459874778289859,3.447368421052632,7.498315870766981,30.000000000000007,2.9857213892312444,1.3819660112501049,2.093852751745191,0.0,1.0,1.0,3.596739081970857,0.3333333333333333,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.6730116670092565,2.0,0.9,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,FakeBrisbane,42.0,labeled,0.2833296949157347,0.2833296949157347,0.354075158613958,10.0,102.0,177.0,1.000000000000008,
graphstate_indep_none_10_s12.qasm,graphstate,indep,none,10,12,"[[0, 3], [0, 7], [0, 8], [1, 4], [1, 5], [1, 6], [2, 5], [2, 8], [2, 9], [3, 4], [3, 6], [4, 7], [5, 7], [6, 9], [8, 9]]",10.0,9.0,25.0,15.0,0.3333333333333333,0.4666666666666667,0.6,0.1975308641975308,0.5555555555555556,1.0967880740884466,2.090673161951173,5.709275359436923,0.1921063541409951,3.5379310344827584,7.427738840532892,30.0,2.9761826198491903,1.0967880740884466,2.090673161951173,0.0,1.0,1.0,3.617770639684921,0.3333333333333333,3.0,0.1,1.0,3.0,0.0,0.0,1.0,0.0,0.6730116670092565,2.0,0.9,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,FakeBrisbane,42.0,labeled,0.3128239122822652,0.3128239122822652,0.3805514885309907,10.0,96.0,157.0,1.000000000000007,
graphstate_indep_none_10_s13.qasm,graphstate,indep,none,10,13,"[[0, 1], [0, 2], [0, 6], [1, 5], [1, 7], [2, 4], [2, 8], [3, 4], [3, 5], [3, 8], [4, 6], [5, 9], [6, 7], [7, 9], [8, 9]]",10.0,10.0,25.0,15.0,0.3333333333333333,0.5333333333333333,0.6,0.1666666666666666,0.5,1.3819660112501055,2.094016353284196,5.999999999999999,0.2303276685416843,3.4393939393939377,7.503840746698953,29.999999999999996,2.986212193848259,1.3819660112501055,2.094016353284196,0.0,1.0,1.0,3.5947553414873794,0.3333333333333333,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.6730116670092565,2.0,1.0,3.932096316186034e-16,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,FakeBrisbane,42.0,labeled,0.2866418606385176,0.2866418606385176,0.3571254270375793,10.0,102.0,155.0,1.0000000000000089,
graphstate_indep_none_10_s14.qasm,graphstate,indep,none,10,14,"[[0, 5], [0, 6], [0, 7], [1, 2], [1, 3], [1, 5], [2, 3], [2, 8], [3, 8], [4, 6], [4, 7], [4, 9], [5, 8], [6, 9], [7, 9]]",10.0,9.0,25.0,15.0,0.3333333333333333,0.4666666666666667,0.6,0.1975308641975308,0.5555555555555556,0.2215428817416112,2.066365101533088,5.489288571810079,0.0403591246558491,6.866666666666668,6.35610766069589,30.0,2.9032584385949347,0.2215428817416112,2.066365101533088,0.0,1.0,1.0,3.775078669448148,0.3333333333333333,5.0,0.4,1.0,3.0,0.0,0.0,4.0,0.0,0.6730116670092565,2.0,0.9,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,FakeBrisbane,42.0,labeled,0.3809760293452708,0.3809760293452708,0.4559541239629087,10.0,72.0,125.0,1.0000000000000036,
graphstate_indep_none_10_s15.qasm,graphstate,indep,none,10,15,"[[0, 1], [0, 3], [0, 9], [1, 5], [1, 7], [2, 3], [2, 4], [2, 8], [3, 8], [4, 6], [4, 8], [5, 6], [5, 9], [6, 7], [7, 9]]",10.0,10.0,25.0,15.0,0.3333333333333333,0.5333333333333333,0.6,0.1666666666666666,0.5,0.5857864376269049,2.0817272447290667,5.813606502648332,0.1007612808606938,4.1754901960784325,7.109879463072269,29.999999999999996,2.949344868182871,0.5857864376269049,2.0817272447290667,0.0,1.0,1.0,3.686622009310693,0.3333333333333333,3.0,0.2,1.0,3.0,0.0,0.0,2.0,0.0,0.6730116670092565,2.0,1.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,FakeBrisbane,42.0,labeled,0.2569810524804975,0.2569810524804975,0.3454123962908736,13.0,90.0,209.0,1.0000000000000062,
graphstate_indep_none_10_s16.qasm,graphstate,indep,none,10,16,"[[0, 1], [0, 4], [0, 7], [1, 2], [1, 5], [2, 3], [2, 8], [3, 4], [3, 9], [4, 7], [5, 6], [5, 9], [6, 8], [6, 9], [7, 8]]",10.0,9.0,25.0,15.0,0.3333333333333333,0.4666666666666667,0.6,0.1975308641975308,0.5555555555555556,1.000000000000001,2.0881704930344784,5.000000000000003,0.2000000000000001,3.5999999999999988,7.377758908227874,30.00000000000001,2.968674613099106,1.000000000000001,2.0881704930344784,0.0,1.0,1.0,3.631546993234368,0.3333333333333333,3.0,0.2,1.0,3.0,0.0,0.0,2.0,0.0,0.6730116670092565,2.0,0.9,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,FakeBrisbane,42.0,labeled,0.2748137186390691,0.2748137186390691,0.3512689116642264,10.0,102.0,177.0,1.000000000000007,
graphstate_indep_none_10_s17.qasm,graphstate,indep,none,10,17,"[[0, 5], [0, 7], [0, 9], [1, 2], [1, 3], [1, 6], [2, 4], [2, 6], [3, 4], [3, 8], [4, 8], [5, 7], [5, 9], [6, 8], [7, 9]]",10.0,8.0,25.0,15.0,0.3333333333333333,0.4,0.6,0.2361111111111111,0.625,1.8930169931596907e-16,2.0442680632985475,5.0,3.786033986319381e-17,2.3166666666666678,7.965545573129991,29.99999999999999,2.8369673238913133,1.8930169931596907e-16,2.0442680632985475,0.0,1.0,1.0,3.855741809269408,0.3333333333333333,2.0,0.6,2.0,3.0,0.0,0.0,6.0,0.0,0.6730116670092565,2.0,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,FakeBrisbane,42.0,labeled,0.4189061533659866,0.4189061533659866,0.4945095168374817,10.0,78.0,113.0,1.000000000000005,
